classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
80238040,filip_hr,1694506,758fdf0eed067800de3e,5527,Map Transcription,7.5,2017-11-29 12:28:45 UTC,,,"{""session"":""80b636fa06a777ab5688d582cfcbf5e977a78049d1e871ee70d3fe79f2b3a288"",""viewport"":{""width"":1536,""height"":779},""started_at"":""2017-11-29T12:27:41.298Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-11-29T12:28:43.914Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":382,""clientHeight"":702,""naturalWidth"":1096,""naturalHeight"":2016}]}","[{""task"":""T0"",""task_label"":""Explain what to draw."",""value"":[{""x"":177.41177368164062,""y"":258.4504699707031,""tool"":0,""frame"":0,""width"":264.4877014160156,""height"":68.99679565429688,""details"":[{""value"":""2* piuara""}],""tool_label"":""Tool name""},{""x"":174.5369110107422,""y"":327.447265625,""tool"":0,""frame"":0,""width"":275.98716735839844,""height"":54.622467041015625,""details"":[{""value"":""2apiuoro""}],""tool_label"":""Tool name""},{""x"":151.53797912597656,""y"":430.94244384765625,""tool"":0,""frame"":0,""width"":275.98716735839844,""height"":57.497344970703125,""details"":[{""value"":""9a piura""}],""tool_label"":""Tool name""},{""x"":151.53797912597656,""y"":597.6846923828125,""tool"":0,""frame"":0,""width"":287.4866180419922,""height"":63.2470703125,""details"":[{""value"":""19b* piure""}],""tool_label"":""Tool name""}]}]","{""15051399"":{""retired"":null,""subject_id"":""1"",""image_name_1"":""ASLEF#1089.JPG""}}",15051399
81379823,not-logged-in-033c006a3941996ad7ae,,033c006a3941996ad7ae,5527,Map Transcription,11.82,2017-12-06 13:48:05 UTC,,,"{""session"":""8846e1d97a1363379599fa9b843357922b661e1f53aafdd9bae87c6dc4771302"",""viewport"":{""width"":1600,""height"":769},""started_at"":""2017-12-06T13:46:14.940Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2017-12-06T13:48:03.077Z"",""live_project"":false,""user_language"":""en"",""subject_dimensions"":[{""clientWidth"":376,""clientHeight"":692,""naturalWidth"":1096,""naturalHeight"":2016}]}","[{""task"":""T0"",""task_label"":""## Transcribing symbols\n| Example  |   Transcribtion|\n|---|---|\n| ![](https://i.imgur.com/kKuUtIy.png =40x40) |  ?1 |\n|  ![](https://i.imgur.com/CFsHBxd.png =40x40) | )1  |\n|   ![](https://i.imgur.com/jb4nlXi.png =40x40) | /  |\n|  ![](https://i.imgur.com/ha8jhle.png =40x40) |  ^1 |\n| ʃ  | s1  |\n|  ʒ   |   z1   |\n|  ![](https://i.imgur.com/eMBlxtP.png =40x40)   |   (   |\n|  ![](https://i.imgur.com/E7RdkNy.png =40x40)   | ?   |"",""value"":[{""x"":177.4616241455078,""y"":266.536376953125,""tool"":0,""frame"":0,""width"":282.5576934814453,""height"":58.25933837890625,""details"":[{""value"":""2* piu/a=ra""}],""tool_label"":""Mark Word\n""},{""x"":173.2145233154297,""y"":324.2509765625,""tool"":0,""frame"":0,""width"":288.3836212158203,""height"":49.520416259765625,""details"":[{""value"":""2a pi@u/o?ro(""}],""tool_label"":""Mark Word\n""}]}]","{""15051399"":{""retired"":null,""subject_id"":""1"",""image_name_1"":""ASLEF#1089.JPG""}}",15051399
95606059,filip_hr,1694506,243f7fbe17faa6259928,5527,Map Transcription,12.100,2018-03-13 13:40:58 UTC,,,"{""session"":""b9ef2b6ed169fece60168f586bfd10dca92ffbe22ae9b0f23ae68abddf53483f"",""viewport"":{""width"":1920,""height"":974},""started_at"":""2018-03-13T13:37:40.068Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2018-03-13T13:40:57.198Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":651,""clientHeight"":877,""naturalWidth"":2411,""naturalHeight"":3247}]}","[{""task"":""T0"",""task_label"":""## Transcribing symbols\n\n![Transperant Image](https://i.imgur.com/vEXM3YY.png)\n\n"",""value"":[{""x"":1532.1697998046875,""y"":1452.7889404296875,""tool"":0,""frame"":0,""width"":123.5504150390625,""height"":53.1265869140625,""details"":[{""value"":""53 loa\\ndero)/""}],""tool_label"":""Mark Word\n""},{""x"":1507.459716796875,""y"":1509.00439453125,""tool"":0,""frame"":0,""width"":119.8438720703125,""height"":61.157470703125,""details"":[{""value"":""lo? ma/ndo""}],""tool_label"":""Mark Word\n""},{""x"":1437.6536865234375,""y"":1391.6314697265625,""tool"":0,""frame"":0,""width"":128.492431640625,""height"":52.5089111328125,""details"":[{""value"":""532 lo( ma\\nda1ro(/""}],""tool_label"":""Mark Word\n""}]}]","{""20221789"":{""retired"":null,""subject_id"":""3"",""image_name_1"":""AIS#11.jpg""}}",20221789
95720548,filip_hr,1694506,243f7fbe17faa6259928,5527,Map Transcription,12.103,2018-03-13 16:29:24 UTC,,,"{""session"":""216c1aa3c4c80394d5dd8c15bfa4fbaf1fb589aeb73c6c97d078a51e35c6eb03"",""viewport"":{""width"":1920,""height"":974},""started_at"":""2018-03-13T16:24:39.518Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2018-03-13T16:29:22.984Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":651,""clientHeight"":877,""naturalWidth"":2411,""naturalHeight"":3247}]}","[{""task"":""T0"",""task_label"":""## Transcribing symbols\n\n![Transperant Image](https://i.imgur.com/IIihOd6.png)\n\n![Transperant Image](https://i.imgur.com/eJaWVts.png)\n\n\n"",""value"":[{""x"":1459.9708251953125,""y"":1395.813232421875,""tool"":0,""frame"":0,""width"":118.5899658203125,""height"":48.5367431640625,""details"":[{""value"":""532 sa\\ra gra:nde(""}],""tool_label"":""Mark Word\n""},{""x"":1438.9549560546875,""y"":1340.2711181640625,""tool"":0,""frame"":0,""width"":112.5853271484375,""height"":48.036376953125,""details"":[{""value"":""527 sa\\ra gra:nde(""}],""tool_label"":""Mark Word\n""},{""x"":1394.3475341796875,""y"":1487.91845703125,""tool"":0,""frame"":0,""width"":93.7734375,""height"":41.02587890625,""details"":[{""value"":""542 e( gra:nde""}],""tool_label"":""Mark Word\n""},{""x"":1578.8780517578125,""y"":1161.8236083984375,""tool"":0,""frame"":0,""width"":143.7293701171875,""height"":26.815185546875,""details"":[{""value"":""e?y s^ra gra-:""}],""tool_label"":""Mark Word\n""},{""x"":1590.069580078125,""y"":1033.670654296875,""tool"":0,""frame"":0,""width"":108.3052978515625,""height"":43.7021484375,""details"":[{""value"":""l e( gra:=nt""}],""tool_label"":""Mark Word\n""},{""x"":1278.8875732421875,""y"":1057.188232421875,""tool"":0,""frame"":0,""width"":141.0819091796875,""height"":35.74072265625,""details"":[{""value"":""al s?ra gra:nt""}],""tool_label"":""Mark Word\n""}]}]","{""20221787"":{""retired"":null,""subject_id"":""2"",""image_name_1"":""AIS#10.jpg""}}",20221787
95721830,filip_hr,1694506,243f7fbe17faa6259928,5527,Map Transcription,12.103,2018-03-13 16:33:51 UTC,,,"{""session"":""216c1aa3c4c80394d5dd8c15bfa4fbaf1fb589aeb73c6c97d078a51e35c6eb03"",""viewport"":{""width"":2560,""height"":1298},""started_at"":""2018-03-13T16:29:26.378Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2018-03-13T16:33:50.383Z"",""seen_before"":true,""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":651,""clientHeight"":877,""naturalWidth"":2411,""naturalHeight"":3247}]}","[{""task"":""T0"",""task_label"":""## Transcribing symbols\n\n![Transperant Image](https://i.imgur.com/IIihOd6.png)\n\n![Transperant Image](https://i.imgur.com/eJaWVts.png)\n\n\n"",""value"":[{""x"":1381.765625,""y"":1477.0294189453125,""tool"":0,""frame"":0,""width"":97.467529296875,""height"":60.4024658203125,""details"":[{""value"":""542 lo? ma/nd""}],""tool_label"":""Mark Word\n""},{""x"":1542.3812255859375,""y"":1448.887451171875,""tool"":0,""frame"":0,""width"":109.8226318359375,""height"":59.716064453125,""details"":[{""value"":""lo( ma\\ndero(/""}],""tool_label"":""Mark Word\n""},{""x"":1281.552490234375,""y"":1281.407958984375,""tool"":0,""frame"":0,""width"":102.9586181640625,""height"":46.674560546875,""details"":[{""value"":""lo? ma/nd""}],""tool_label"":""Mark Word\n""},{""x"":1775.2642822265625,""y"":1677.0421142578125,""tool"":0,""frame"":0,""width"":144.90087890625,""height"":48.8369140625,""details"":[{""value"":""e|l ma\\nnare?-/mo""}],""tool_label"":""Mark Word\n""},{""x"":1820.271484375,""y"":1549.5982666015625,""tool"":0,""frame"":0,""width"":112.5396728515625,""height"":33.8101806640625,""details"":[{""value"":""555 ma\\nda1ro(/""}],""tool_label"":""Mark Word\n""},{""x"":1836.2105712890625,""y"":1492.1209716796875,""tool"":0,""frame"":0,""width"":126.063720703125,""height"":48.7833251953125,""details"":[{""value"":""558 a1l ma\\nda1ro?/""}],""tool_label"":""Mark Word\n""}]}]","{""20221789"":{""retired"":null,""subject_id"":""3"",""image_name_1"":""AIS#11.jpg""}}",20221789
95722060,filip_hr,1694506,243f7fbe17faa6259928,5527,Map Transcription,12.103,2018-03-13 16:34:27 UTC,,,"{""session"":""216c1aa3c4c80394d5dd8c15bfa4fbaf1fb589aeb73c6c97d078a51e35c6eb03"",""viewport"":{""width"":1920,""height"":974},""started_at"":""2018-03-13T16:33:53.298Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2018-03-13T16:34:26.798Z"",""seen_before"":true,""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":868,""clientHeight"":1169,""naturalWidth"":2411,""naturalHeight"":3247}]}","[{""task"":""T0"",""task_label"":""## Transcribing symbols\n\n![Transperant Image](https://i.imgur.com/IIihOd6.png)\n\n![Transperant Image](https://i.imgur.com/eJaWVts.png)\n\n\n"",""value"":[]}]","{""20221787"":{""retired"":null,""subject_id"":""2"",""image_name_1"":""AIS#10.jpg""}}",20221787
97935645,filip_hr,1694506,0c8fd86f0da875ba0f2c,5527,Map Transcription,12.109,2018-03-20 14:38:43 UTC,,,"{""session"":""cab98d1d9f8529e123ae3e31fb8d264ad93e9450265f50edf9eb3530ef3a254e"",""viewport"":{""width"":1920,""height"":974},""started_at"":""2018-03-20T14:38:10.462Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2018-03-20T14:38:41.250Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":656,""clientHeight"":877,""naturalWidth"":830,""naturalHeight"":1109}]}","[{""task"":""T0"",""task_label"":""## Transcribing symbols\n\n![Transperant Image](https://i.imgur.com/IIihOd6.png)\n\n![Transperant Image](https://i.imgur.com/eJaWVts.png)\n\n\n"",""value"":[]}]","{""20353907"":{""retired"":null,""map_nr"":""10"",""subject_id"":""1"",""image_name_1"":""parts_3x3_overlap_40_0.jpg""}}",20353907
97935659,filip_hr,1694506,0c8fd86f0da875ba0f2c,5527,Map Transcription,12.109,2018-03-20 14:38:47 UTC,,,"{""session"":""cab98d1d9f8529e123ae3e31fb8d264ad93e9450265f50edf9eb3530ef3a254e"",""viewport"":{""width"":1920,""height"":974},""started_at"":""2018-03-20T14:38:42.826Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2018-03-20T14:38:45.242Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":657,""clientHeight"":877,""naturalWidth"":831,""naturalHeight"":1109}]}","[{""task"":""T0"",""task_label"":""## Transcribing symbols\n\n![Transperant Image](https://i.imgur.com/IIihOd6.png)\n\n![Transperant Image](https://i.imgur.com/eJaWVts.png)\n\n\n"",""value"":[]}]","{""20353908"":{""retired"":null,""map_nr"":""10"",""subject_id"":""2"",""image_name_1"":""parts_3x3_overlap_40_1.jpg""}}",20353908
97935668,filip_hr,1694506,0c8fd86f0da875ba0f2c,5527,Map Transcription,12.109,2018-03-20 14:38:49 UTC,,,"{""session"":""cab98d1d9f8529e123ae3e31fb8d264ad93e9450265f50edf9eb3530ef3a254e"",""viewport"":{""width"":1920,""height"":974},""started_at"":""2018-03-20T14:38:45.994Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2018-03-20T14:38:47.603Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":656,""clientHeight"":877,""naturalWidth"":830,""naturalHeight"":1109}]}","[{""task"":""T0"",""task_label"":""## Transcribing symbols\n\n![Transperant Image](https://i.imgur.com/IIihOd6.png)\n\n![Transperant Image](https://i.imgur.com/eJaWVts.png)\n\n\n"",""value"":[]}]","{""20353909"":{""retired"":null,""map_nr"":""10"",""subject_id"":""3"",""image_name_1"":""parts_3x3_overlap_40_2.jpg""}}",20353909
97935676,filip_hr,1694506,0c8fd86f0da875ba0f2c,5527,Map Transcription,12.109,2018-03-20 14:38:51 UTC,,,"{""session"":""cab98d1d9f8529e123ae3e31fb8d264ad93e9450265f50edf9eb3530ef3a254e"",""viewport"":{""width"":1920,""height"":974},""started_at"":""2018-03-20T14:38:48.235Z"",""user_agent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2018-03-20T14:38:49.092Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":656,""clientHeight"":877,""naturalWidth"":830,""naturalHeight"":1109}]}","[{""task"":""T0"",""task_label"":""## Transcribing symbols\n\n![Transperant Image](https://i.imgur.com/IIihOd6.png)\n\n![Transperant Image](https://i.imgur.com/eJaWVts.png)\n\n\n"",""value"":[]}]","{""20353910"":{""retired"":null,""map_nr"":""10"",""subject_id"":""4"",""image_name_1"":""parts_3x3_overlap_40_3.jpg""}}",20353910
